T_over_M,Re_psi4_22,Im_psi4_22
5.825000000000000000e+01,6.707422632092425920e-04,4.421973595178561867e-03
5.850000000000000000e+01,1.056479359815803813e-03,4.429614120575076953e-03
5.875000000000000000e+01,1.453354946086038739e-03,4.401045615224830412e-03
5.900000000000000000e+01,1.857492483360512507e-03,4.333807047304461847e-03
5.925000000000000000e+01,2.264603472338284386e-03,4.225924894730548158e-03
5.950000000000000000e+01,2.670057131153409733e-03,4.075973053718284257e-03
5.975000000000000000e+01,3.068957910034128544e-03,3.883122151236992250e-03
6.000000000000000000e+01,3.456229226011291612e-03,3.647177341053962560e-03
6.025000000000000000e+01,3.826701698653308444e-03,3.368603902040199008e-03
6.050000000000000000e+01,4.175204099922354313e-03,3.048540210355981956e-03
6.075000000000000000e+01,4.496655205370818885e-03,2.688797917757557165e-03
6.100000000000000000e+01,4.786154752083398960e-03,2.291849427344426655e-03
6.125000000000000000e+01,5.039071766516070236e-03,1.860803005854046047e-03
6.150000000000000000e+01,5.251128614181072192e-03,1.399366100688270199e-03
6.175000000000000000e+01,5.418479235349439940e-03,9.117976374078254126e-04
6.200000000000000000e+01,5.537780163544727199e-03,4.028502610074491137e-04
6.225000000000000000e+01,5.606253077459286659e-03,-1.222963458467306850e-04
6.250000000000000000e+01,5.621737812435113023e-03,-6.581097837206980770e-04
6.275000000000000000e+01,5.582734951230050244e-03,-1.198785486863022508e-03
6.300000000000000000e+01,5.488437319292435029e-03,-1.738331999084287384e-03
6.325000000000000000e+01,5.338749923210202135e-03,-2.270659409442842003e-03
6.350000000000000000e+01,5.134298092291311559e-03,-2.789669351390759635e-03
6.375000000000000000e+01,4.876423811477749101e-03,-3.289344967371213985e-03
6.400000000000000000e+01,4.567170460911434623e-03,-3.763839269964948126e-03
6.425000000000000000e+01,4.209256388764963559e-03,-4.207560392644718768e-03
6.450000000000000000e+01,3.806037927899770870e-03,-4.615252314851973729e-03
6.475000000000000000e+01,3.361462625258533274e-03,-4.982069758450062731e-03
6.500000000000000000e+01,2.880013599494666426e-03,-5.303646077491552639e-03
6.525000000000000000e+01,2.366646089165293232e-03,-5.576153100934969076e-03
6.550000000000000000e+01,1.826717396350762161e-03,-5.796352046244192778e-03
6.575000000000000000e+01,1.265911546961105737e-03,-5.961634806276880708e-03
6.600000000000000000e+01,6.901600557050834419e-04,-6.070055116172713358e-03
6.625000000000000000e+01,1.055601947379614054e-04,-6.120349313451977670e-03
6.650000000000000000e+01,-4.817078619714232216e-04,-6.111946595681494628e-03
6.675000000000000000e+01,-1.065463682972700964e-03,-6.044968850673563231e-03
6.700000000000000000e+01,-1.639607704750375636e-03,-5.920220293713748978e-03
6.725000000000000000e+01,-2.198199555757653946e-03,-5.739167309164111726e-03
6.750000000000000000e+01,-2.735532343284032431e-03,-5.503909065821242091e-03
6.775000000000000000e+01,-3.246201760200510388e-03,-5.217139647346737824e-03
6.800000000000000000e+01,-3.725169014583557849e-03,-4.882102591268564634e-03
6.825000000000000000e+01,-4.167816768418297277e-03,-4.502538844265600512e-03
6.850000000000000000e+01,-4.569997462813008525e-03,-4.082629211221170708e-03
6.875000000000000000e+01,-4.928073580545799630e-03,-3.626932408441153975e-03
6.900000000000000000e+01,-5.238949542564870325e-03,-3.140319843003972541e-03
6.925000000000000000e+01,-5.500095061537649960e-03,-2.627908244027213781e-03
6.950000000000000000e+01,-5.709559900394138923e-03,-2.094991271997488375e-03
6.975000000000000000e+01,-5.865980121539301866e-03,-1.546971223239236625e-03
7.000000000000000000e+01,-5.968576065479795807e-03,-9.892919169975534100e-04
7.025000000000000000e+01,-6.017142455794573588e-03,-4.273737936572841959e-04
7.050000000000000000e+01,-6.012031174279956064e-03,1.334478371130291482e-04
7.075000000000000000e+01,-5.954127371794840605e-03,6.879805737410604489e-04
7.100000000000000000e+01,-5.844819670763033020e-03,1.231228029580036997e-03
7.125000000000000000e+01,-5.685965276117231799e-03,1.758437706393306977e-03
7.150000000000000000e+01,-5.479850847971740220e-03,2.265143204044828620e-03
7.175000000000000000e+01,-5.229150006249206131e-03,2.747200465081687127e-03
7.200000000000000000e+01,-4.936878337685244797e-03,3.200817877916446036e-03
7.225000000000000000e+01,-4.606346761105759892e-03,3.622580182087318124e-03
7.250000000000000000e+01,-4.241114079859632617e-03,4.009466232368807947e-03
7.275000000000000000e+01,-3.844939512517383910e-03,4.358860784932813183e-03
7.300000000000000000e+01,-3.421735944096127632e-03,4.668560568533088213e-03
7.325000000000000000e+01,-2.975524578104178901e-03,4.936774995979648258e-03
7.350000000000000000e+01,-2.510391593458459730e-03,5.162121952963599075e-03
7.375000000000000000e+01,-2.030447321839307703e-03,5.343619168442569761e-03
7.400000000000000000e+01,-1.539788364772093224e-03,5.480671720462800857e-03
7.425000000000000000e+01,-1.042462969638754348e-03,5.573056263083550448e-03
7.450000000000000000e+01,-5.424398819938186121e-04,5.620902574770227610e-03
7.475000000000000000e+01,-4.358079008108670175e-05,5.624673026515935453e-03
7.500000000000000000e+01,4.503836189183148741e-04,5.585140549229516624e-03
7.525000000000000000e+01,9.358740560915017282e-04,5.503365646849003694e-03
7.550000000000000000e+01,1.409479616089308850e-03,5.380672959189350749e-03
